[57 36  0 11 22  1 30  4 46  3 28 50 56 12 55 35 53  8 20 51 44 33 52 49
 41 45 16 54 27 40 21  7 34  2 29 15 48 14 47 43 10 42 23  5 26 17 25 19
 32 38  9 39 24 13  6 37 18 31 58]
ranking done 
1 0.850893127459885
3 0.8946412352406903
5 0.9003935815924917
7 0.9009990917347865
9 0.9002422040569179
11 0.9073569482288828
13 0.9037238873751136
15 0.9053890402664244
17 0.9072055706933091
19 0.912655161973963
21 0.9081138359067514
23 0.907811080835604
25 0.9132606721162579
27 0.9152285800787163
29 0.9097789887980624
31 0.9111413866182259
33 0.9128065395095368
35 0.9112927641537996
37 0.9155313351498637
