[18 31 17  3 30 12 42  9 23  8  5 33 36 20 29 16  7  2 51 44  6 24 13 37
  0 32 19 25 14 38 10 43 47 11  1  4 22 39 26 15 48 54 40 27 34 21 45 56
 52 46 49 35 53 41 55 28 57 50 58]
ranking done 
1 0.8623978201634878
3 0.8900999091734787
5 0.896457765667575
7 0.9025128670905238
9 0.9034211323039661
11 0.9076597033000303
13 0.9073569482288828
15 0.9081138359067514
17 0.9099303663336361
19 0.9108386315470784
21 0.9131092945806842
23 0.911595519224947
25 0.912655161973963
27 0.9167423554344535
29 0.9147744474719952
31 0.9141689373297003
