[ 2 29 57  0 56 35 53 20 46 51 44 28 50 34 36 37 38 39 40 41  4 43 33 45
 47 48 49 52 54 55 42 32 31 30  5  6  7  8  9 10 11 12 13 14 15 16 17 18
 19 21 22 23 24 25 26 27  1  3 58]
ranking done 
1 0.7167726309415683
3 0.8577051165607024
5 0.9005449591280654
7 0.9032697547683923
9 0.9034211323039661
11 0.9062973054798668
13 0.911595519224947
15 0.914320314865274
17 0.9082652134423251
19 0.9117468967605208
21 0.9134120496518316
23 0.9146230699364214
25 0.9118982742960945
27 0.9173478655767484
29 0.912655161973963
31 0.9144716924008477
33 0.9134120496518316
35 0.9165909778988798
37 0.9131092945806842
39 0.9137148047229791
41 0.9171964880411747
