[57  0 26 39 25 19 32 38 20 51 44 33 54 27 40 21 15 48 52 45 49 28 50 34
 41 55 56 14 35 53 46 47 43 10 24 13  6 37 18 31 42  9 23 17 22  5  4  8
 12 36  3 11  1 30 16  7  2 29 58]
ranking done 
1 0.8469573115349682
3 0.9053890402664244
5 0.9094762337269149
7 0.9105358764759309
9 0.9129579170451105
11 0.9141689373297003
13 0.9156827126854374
15 0.9158340902210113
17 0.914320314865274
19 0.9188616409324856
21 0.9165909778988798
23 0.9147744474719952
25 0.9182561307901907
27 0.9161368452921587
29 0.9190130184680594
31 0.9184075083257645
33 0.9202240387526491
35 0.9240084771419921
37 0.9202240387526491
39 0.9178019981834695
41 0.9155313351498637
43 0.9168937329700273
45 0.9173478655767484
47 0.9215864365728126
49 0.9178019981834695
51 0.9214350590372389
53 0.920526793823
