[57  0 26 39 54 25 27 45 19 40 32 38 21 48 49 28 20 15 41 52 51 44 55 33
 50 34 56 35 53 46 14 43 47 10 24 13  6 37 18 31  9 42  5 23 17  8  3  4
 22 12 36 11 30  1  7 16  2 29 58]
ranking done 
1 0.8560399636693915
3 0.9028156221616712
5 0.9118982742960945
7 0.9112927641537996
9 0.9105358764759309
11 0.9158340902210113
13 0.914320314865274
15 0.9118982742960945
17 0.9174992431123221
19 0.9135634271874054
21 0.9173478655767484
23 0.9132606721162579
25 0.9220405691795338
27 0.9184075083257645
29 0.9171964880411747
31 0.9188616409324856
33 0.9182561307901907
35 0.9171964880411747
37 0.9197699061459279
39 0.9174992431123221
41 0.9158340902210113
43 0.9190130184680594
45 0.9150772025431426
47 0.9178019981834695
49 0.9190130184680594
51 0.9164396003633061
53 0.9193157735392068
55 0.9167423554344535
57 0.9156827126854374
