[57  0 26 39 27 54 45 40 25 28 19 41 50 55 21 15 32 49 38 48 52 20 34 51
 33 44 14 56 43 35 47 46 10 53  5 17 23 24 13  6  3  8 12 37  4 36 22 30
 11  1 18 31  9 42  2 16  7 29 58]
ranking done 
1 0.8563427187405389
3 0.9022101120193763
5 0.9038752649106873
7 0.9111413866182259
9 0.9105358764759309
11 0.9108386315470784
13 0.9123524069028156
15 0.914320314865274
17 0.9155313351498637
19 0.9184075083257645
21 0.917045110505601
23 0.9193157735392068
25 0.9224947017862549
27 0.9176506206478958
29 0.9190130184680594
31 0.9188616409324856
33 0.9197699061459279
35 0.9190130184680594
37 0.9185588858613382
39 0.9191643960036331
41 0.9199212836815016
43 0.9176506206478958
