[267 268 305 172 306 248 250 249 269 191 210 173 251 211 307 174 192 252
 212 193 270 153 116 117 154 194 253 286 136   3 287 175   2 229 137 155
 288 156 195 115   4 254 308 118 138 271 157 230 289   1 255 196  22 213
  21 197 231 135 176 232 139 198   5 158 233 119 309  23 272 140  20 141
 159 290 214 256  60   6  62 120  61  59  58  99 134 199 100  24 273  98
   7 177 142 160  81 101  80 310  82  44 103  43 102  46  79  63   8  45
  25 234  83 121 178  84  42  47 161  78 291  41  26  64 104  97 215 179
 311  85 257  27 274  77 200 235  65  40 122   9 162  96 216 292  28 236
  48 312 143 275 180  86  39 293  66 258 105 163 237 217 123 201  10 313
 294  29 144  67  87 238  49 276 314 181 202 218 124 295 164 106  68 239
  30 315 259  88 277 145 219 125 203 296 182  50  69 220 146 107 278  31
  89 240 165 316 126 260 183 221  51  70 241 108 147 297 279 204 317  90
  32 127 261 184 222 109  52 280 298 166  71 242 223 318 185 128  33 299
 300 264 263 320 319 262 284 301 283 282 266 304 281 303 302 285 265   0
 246  57  72  73  74  75  76  56  91  93  94  95 110 111 112  92 113  55
  53  11  12  13  14  15  16  54  17  19  34  35  36  37  38  18 247 114
 130 190 205 206 207 208 209 189 224 226 227 228 243 244 245 225 129 188
 186 131 132 133 148 149 150 187 151 321 167 168 169 170 171 152 322]
ranking done 
5 0.6466666666666666
10 0.6966666666666667
15 0.6833333333333333
20 0.6666666666666666
25 0.7433333333333333
30 0.68
35 0.75
40 0.7733333333333333
45 0.75
50 0.75
55 0.7166666666666667
60 0.76
65 0.7666666666666667
70 0.7566666666666667
75 0.75
80 0.7733333333333333
85 0.7533333333333333
90 0.75
95 0.81
100 0.7533333333333333
105 0.78
110 0.8133333333333334
115 0.77
120 0.7466666666666667
125 0.7966666666666666
130 0.7933333333333333
135 0.7766666666666666
140 0.7933333333333333
145 0.8066666666666666
150 0.79
155 0.7833333333333333
160 0.8066666666666666
165 0.7966666666666666
170 0.8066666666666666
175 0.8233333333333334
180 0.7766666666666666
185 0.8066666666666666
190 0.7866666666666666
195 0.79
200 0.7733333333333333
205 0.8133333333333334
210 0.7766666666666666
215 0.8066666666666666
220 0.7866666666666666
225 0.8066666666666666
230 0.8166666666666667
235 0.8033333333333333
240 0.7866666666666666
245 0.7966666666666666
250 0.8166666666666667
255 0.8
260 0.7866666666666666
265 0.8066666666666666
270 0.81
275 0.8133333333333334
280 0.8166666666666667
285 0.7833333333333333
290 0.8066666666666666
295 0.8366666666666667
300 0.7966666666666666
305 0.8533333333333334
310 0.8166666666666667
315 0.7833333333333333
320 0.8033333333333333
